target,a,b,c,d
sahasraxaMRtra,pATIna,kRepaNI,xIrGikA,kenipAwaka
kesara,kiFjalka,jalOkA,nAla,svawas
xASa,kEvarwa,kUpaka,rakwapA,vipAS
badiSa,mawsyaveXana,SakulI,sUryawanayA,vakra
sOganXika,kalhAra,xASa,karkataka,kola
srowas,svawas,srowas,naxI,caNasUwra
yAxas,jalajanwu,anwarIpa,SambUka,agAXa
putaBexa,vakra,nAla,xvIpa,vIci
gaNdUpaxI,SilI,kumuxinI,puNdarIka,varAtaka
rawnagarBA,sarvaMsahA,GaNtApaWa,mqwwikA,xyAvApqWivyO
saMsaraNa,GaNtApaWa,SArkara,xeSa,sikawila
URa,kRAramqwwikA,mlecCaxeSa,SarkarA,SArkara
maru,Xanvan,roxasI,GoRa,Kila
paWin,paxyA,kroSayuga,kaxaXvan,valaja
mlecCaxeSa,prawyanwa,janapaxa,rawnagarBA,sawpaWa
Sarkarila,SarkarA,nadvaw,SqfgAtaka,maXyama
kroSayuga,gavyUwi,maXyama,prawyanwa,valaja
sikawAvaw,sEkawa,nAku,jagaw,mqwwikA
aprahawa,Kila,sikawAvaw,anUpa,sajambAla
sWalI,sWala,rumA,GaNtApaWa,viRaya
kaxaXvan,xuraXva,prawyanwa,awipaWin,janapaxa
SqfgAtaka,cawuRpaWa,roxasI,SarkarAvaw,sajambAla
viRaya,xeSa,sajambAla,vAmalUra,jagawI
kacCa,jalaprAya,valaja,prawyanwa,Sarkarila
xyAvApqWivyO,xyAvABUmI,jalaprAya,URara,gavyUwi
mqwwikA,mqx,sikawAvaw,mqwsnA,lavaNAkara
mqwsnA,mqwsA,maru,gaFjA,URavaw
AryAvarwa,puNyaBUmi,Sarkarila,mqwsA,pafkila
pafkila,sajambAla,sWala,apaWin,valaja
sikawA,sikawila,sikawila,aprahawa,kaxaXvan
sewu,varaNa,URavaw,sahas,roxasI
arciwAXvan,sawpaWa,xuraXva,maru,arciwAXvan
nadvala,nadvaw,nAku,parisara,jalaprAya
parisara,paryanwaBU,valmIka,gaFjA,sWala
maXyaxeSa,maXyama,mqwsnA,nIvqx,Buvana
nAku,vAmalUra,lavaNAkara,goRTa,GaNtApaWa
lavaNAkara,gaFjA,mqwsnA,vAmalUra,gavyUwi
SarkarAvaw,SArkara,viRaya,puNyaBUmi,loka
URara,URavaw,nIvqx,URavaw,prawyanwa
apaWa,apaWin,xeSa,sEkawa,arciwAXvan
valaja,upaniRkara,maru,gavyUwi,Sarkarila
gosWAnaka,goRTa,sikawAvaw,valaja,nadvaw
nIvqx,Anarwa,kApaWa,Buvana,valaja
jagawI,loka,Kila,SArkara,awipaWin
veSmaBU,vAswu,patalaprAnwa,puraxvAra,anwaHpura
atta,walpa,viwarxi,Sirogqha,niRaxyA
saFjavana,cawuHSAla,pAnIyaSAlikA,vAwAyana,xvAra
sarvawoBaxra,nanxyAvarwa,nikarRaNa,nanxyAvarwa,niryUha
maNdapa,janASraya,saBA,nikarRaNa,SAKAnagara
maxirAgqha,gaFjA,kapiSIrRa,gqhAvagrahaNI,viSiKA
caya,vapra,patalaprAnwa,sIman,swryagAra
pakRaka,pakRaxvAra,garBAgAra,pAnIyaSAlikA,grAmAnwa
cawvara,ajira,aXiRTAna,paNyavIWikA,sUwikAgqha
gopAnasI,valaBI,safkara,utaja,alinxa
pracCanna,anwarxvAra,xehalI,sopAna,avakara
arara,kapAta,gopura,vapra,saFjavana
gopura,puraxvAra,patalaprAnwa,pakkaNa,sUwikAgqha
sWAnIya,manxira,vipaNi,viwarxi,varaNa
alinxa,praGANa,safkara,sOXa,woraNa
aXirohiNI,niHSreNi,valaBI,sarvawoBaxra,muKa
paNyavIWikA,vipaNi,upakArikA,AveSana,svaswika
prawolI,raWyA,ApaNa,afgaNa,pakRaxvAra
avakara,safkara,veSa,praBexa,bahirxvAra
pAnIyaSAlikA,prapA,grAmAnwa,pura,Caxis
ApaNa,niRaxyA,ariRta,praGANa,ArohaNa
Biwwi,kapiSIrRa,praGaNa,kapAta,kapiSIrRa
Alaya,XAman,safkara,BogavawI,vAwAyana
Ayawana,cEwya,pakRaxvAra,sOXa,Biwwi
upakAryA,upakArikA,gaFjA,utaja,SoXanI
SoXanI,sammArjanI,jAla,vAjiSAlA,bahirxvAra
saMniveSa,nikarRaNa,pakRaxvAra,niRaxyA,gopAnasI
ABIrapallI,GoRa,bahirxvAra,muKa,GoRa
pakkaNa,SabarAlaya,vAsagqha,viwarxi,veSa
veSyAjanasamASraya,veSa,prapA,valaBI,veSman
grAmAnwa,upaSalya,ArohaNa,Biwwi,prapA
canxraSAlA,Sirogqha,aXirohiNI,upakArikA,bahirxvAra
sUwikAgqha,ariRta,anwarxvAra,veSa,sopAna
kutI,SAlA,arara,grAmAnwa,pAnIyaSAlikA
utaja,parNaSAlA,prAkAra,woraNa,upakAryA
vitafka,kapowapAlikA,cawuHSAla,praGaNa,woraNa
Caxis,patala,kROma,saMvasaWa,grAmAnwa
aXiRTAna,nigama,atta,parNaSAlA,SAlA
xehalI,gqhAvagrahaNI,saFjavana,rAjasaxana,ariRta
manxurA,vAjiSAlA,pakRaka,sUwikAgqha,viwarxi
vAwAyana,gavAkRa,pakRaka,upakAryA,kRaya
prawIhAra,xvA,xvAra,vAsagqha,sUwikAgqha
patalaprAnwa,nIXra,kudya,ariRta,valIka
viwarxi,vexikA,muKa,cawuHSAla,rAjasaxana
ArohaNa,sopAna,grAma,patalaprAnwa,prapA
swryagAra,anwaHpura,viwarxi,upakArikA,patalaprAnwa
rAjasaxana,sOXa,saBA,vAsagqha,upaSalya
grAma,saMvasaWa,cEwya,puraxvAra,gaFjA
muKa,niHsaraNa,pAnIyaSAlikA,niHSreNi,upakAryA
SilpiSAlA,AveSana,cawvara,SoXanI,aXirohiNI
bahirxvAra,woraNa,valIka,gopura,sopAna
vAsagqha,garBAgAra,paNyavIWikA,pakRaxvAra,cawvara
sAla,varaNa,veSyAjanasamASraya,pracCanna,sOXa
sImA,sIman,vAswu,afgaNa,sUwikAgqha
lokAloka,cakravAla,uxaya,kataka,prawyanwaparvawa
Kani,Akara,vAripravAha,SilA,Kani
Jara,nirJara,xarI,SiKara,awata
awata,Bqgu,Kani,wrikakux,kataka
Sqfga,kUta,wrikUta,gahvara,SEla
kanxara,xarI,Jara,aSman,kuFja
xqRax,aSman,Akara,uwsa,prapAwa
prasravaNa,uwsa,prasravaNa,xevaKAwa,kuFja
maru,Siloccaya,kataka,kUta,prasWa
xevaKAwa,bila,Sqfga,nikuFja,BUBqw
pAxa,prawyanwaparvawa,uwsa,kUta,wrikUta
uxaya,pUrvaparvawa,praswara,cakravAla,nikuFja
caramakRmABqw,aswa,xarI,Jara,gowra
sAnu,snu,pAxa,naga,lokAloka
kataka,kataka,awata,giri,wrikakux
wrikakux,wrikUta,kUta,Jara,uxaya
kuFja,nikuFja,caramakRmABqw,kuFja,Kani
mahORaXa,laSuna,lawArka,saraNA,vayaHsWA
nalI,kapowAfGri,Ali,krakara,vata
wqNarAjAhvaya,wAla,cAfgerI,PalapUra,surARtraja
jayA,jayanwI,sPUrjaka,gajaBakRyA,SvewasurasA
pONdarya,prapONdarIka,cavikA,kalikA,kaTillaka
kaxalI,kARTIlA,pravAla,samuxrAnwA,haFjikA
makUlaka,nikumBa,buka,jaya,JaRA
laGulaya,aBaya,amlavewasa,pIwaxru,picula
godumbA,gavAkRI,nAxeyI,kesara,sahacarI
Caxana,Caxa,ajamoxA,janI,ikRvAku
waNdulIya,alpamAriRa,goXApaxI,nalI,paFcAfgula
prapunnAta,paxmAta,GaNtAravA,nimba,vqRa
kRuxrA,kaNtakArikA,wuvarikA,vaFjula,agra
pATin,vahnisaMjFaka,vqxXa,aFjanakeSI,musalI
barhiRTa,uxIcya,vqRa,SawavIryA,lafkopika
pUwika,pUwikaraja,prasUna,jayA,kAravI
vqxXi,Ahvaya,karamarxaka,suniRaNNaka,SawapuRpA
parNAsa,kaTiFjara,wAmbUlI,arSoGna,Safku
newra,vitapa,wAlaparNI,rajanI,suvallI
Palin,Palavaw,uSIra,kolavallI,BUwika
xArvikA,gojihvA,avalguja,manxAra,nAgavallI
sasyasaMvara,sarja,vApya,gaNdIra,vyAkoSa
avakeSin,aPala,maXuparNI,mAgaXI,malapU
SqfgI,qRaBa,kalimAraka,potagala,yUWikA
wAmbUlavallI,nAgavallI,kanxarAla,aBayA,cirabilva
SambarI,mURikaparNI,vqkRAxanI,vAwaka,gulminI
jIvanwI,jIvA,granWi,suReNa,kolavallI
meGanAman,muswaka,uraNAKya,CawrA,siMhI
nimbawaru,pAriBaxra,Safku,xrumowpala,xAdima
karkatI,IrvAru,suvahA,vrawawi,pawra
XAwupuRpikA,agnijvAlA,eXa,varI,cakralA
pAlinxI,arXacanxrA,Palegrahi,kaxalI,wrivqw
ikRu,rasAla,kutmala,kumBI,kRIrAvI
nari,sAra,pIluparNI,nIlI,laGulaya
kUrcaSIrRa,jIvaka,godumbA,patu,gqRti
kiFjalka,pakRman,gavAkRI,vASikA,viBIwaka
agra,Siras,aga,nIlikA,jIvanIyA
barbarA,wufgI,ikRu,prakIrya,marunmAlA
vata,nyagroXa,SiMSapA,kAlIyaka,punarnavA
kakRa,wqNa,samuxrAnwA,surARtraja,vayaHsWA
swabaka,gucCa,uxxAla,BujafgAkRI,banXUka
pIlu,prasUna,sasya,vqRa,kesara
jAmbava,jambU,pUwikARTa,SyAmA,vanxA
sUraNa,arSoGna,Avali,marubaka,JAvuka
kapIwana,AmrAwaka,kulaka,viRtara,murA
nAgarafga,ErAvawa,punarnavA,samafgA,karcUra
arjuna,kakuBa,XamanI,sAwalA,xuxruma
wikwaSAka,varaNa,lAfgalI,karaFjaka,bAlawanaya
kaNtakiPala,panasa,viRNukrAnwA,uccatA,skanXa
wriBaNdI,saralA,majjan,RadgranWA,qxXi
pASupawa,SivamallI,kisalaya,vitKaxira,PaNijjaka
maXuSreNI,wejanI,vIWi,SawaparvikA,amlavewasa
sarala,pUwikARTa,SawaveXin,maXuxruma,nIlI
SAKA,lawA,kRIrAvI,upakulyA,vaFjula
samiw,eXa,vyAdAyuXa,brahmaNya,bilva
SONdI,vExehI,aSoka,bakula,kataBI
gaNahAsaka,rAkRasI,vAnaprasWa,kURmANdaka,prakANda
Sukwi,naKa,XUrwa,mAlaka,aMSumawI
picCA,SAlmalIveRta,mArkava,naKa,lawA
aguru,SiMSapA,hemaxugXaka,kAkenxu,karaka
kolI,karkanXU,paxmacAriNI,muxgaparNI,rakwaPalA
maskara,yavaPala,granWila,nAxeyI,vqnwa
cavya,cavikA,lawA,jatA,vikaca
BUwAvAsa,viBIwaka,parNAsa,Xamana,sapwalA
parNa,kiMSuka,vewasa,vixArI,afgAravallI
pAkala,vyAXi,kAlaskanXa,wqNaSUnya,skanXa
vAwaka,SaNaparNI,caNdAwa,vayaHsWA,wApicCa
rakwaka,banXujIvaka,kAkaciFcA,prasAriNI,SAlmalIveRta
kAkamAcI,vAyasI,kunASaka,viRNukrAnwA,viSalyA
jImUwa,xevawAda,amlavewasa,saraNA,kRIrikA
wuNdikerI,baxarA,granWila,wufga,BqfgarAja
kqmiGna,vella,BUruNdI,bANA,kaNikA
yukwarasA,rAsnA,kAlaskanXa,XAwrI,GoRaka
ucCraya,ucCrAya,kAkamuxgA,rAsnA,kapIwana
xUrvA,ananwA,Baxramuswaka,nalI,hinwAla
gunxrA,Baxramuswaka,misi,kaNtakArikA,pORkara
rocana,kUtaSAlmali,IrvAru,Pala,Baxramuswaka
picula,JAvuka,mahAkanxa,puRkara,parivyAXa
rucaka,mAwulufgaka,patu,Bqfga,priyaka
AkRIva,wIkRNaganXaka,kola,puRpa,namaskArI
maFjari,vallari,kOSika,jamBa,rocana
qkRaganXikA,kRIravixArI,samIraNa,sPUrjaka,jAlI
svAxurasA,vAyasolI,kAnwAraka,mArjana,SaNapuRpikA
siwA,BUwaveSI,sAwalA,SIwa,cukra
SaRpa,bAlawqNa,upoxakA,SuRirA,gavAkRI
saMsparSA,jawUkA,valka,SrImaw,PalapUra
araNi,agnimanWa,samaRTilA,Baxramuswaka,Palin
baxarA,vArAhI,gaNdAlI,akRota,kAkawinxuka
CagalAnwrI,qkRaganXA,BUpaxI,SIwala,eXa
kaTillaka,suRavI,karcUra,gucCa,SAlA
ananwA,SArivA,nakuleRtA,valkala,gunxrA
nIpa,priyaka,mayUra,vanaSqfgAta,vAluka
nAkulI,suganXA,kaxara,winxuka,SaNapuRpikA
saraNA,prasAriNI,dahu,XAmArgava,karaka
nArAyaNI,varI,aPala,gaNdAlI,SANdilya
krakara,granWila,parjanI,sahasraveXin,halipriya
Salka,valka,xAru,jyowsnI,parvan
lAfgalI,nAlikera,viBIwaka,sixXi,SyAmA
SrIPalI,raFjanI,Arevawa,xAdima,wilaka
yugapawraka,camarika,girikarNI,katamBarA,agniSiKA
vqRa,vExyamAwq,xevavallaBa,pUwika,ikRura
KaramaFjarI,XAmArgava,Palegrahi,pura,mUlaka
himAvawI,svarNakRIrI,mAgaXI,SatI,odrapuRpa
Xruva,sWANu,Xruva,maXuka,Palavaw
ciFcA,winwidI,sixXi,elA,markatI
sampAka,cawurafgula,pattikAKya,gaNikA,vIruX
golomI,SawaparvikA,pUraNI,nIlI,pApacelI
kAkanAsikA,kAkAfgI,SqfgI,rajanI,Sakra
parus,granWi,hrasvAfga,awimukwa,skanXa
wamAla,wApicCa,sahacarI,somavalka,uxyAna
prAvqRAyaNI,markatI,vixrumalawA,sWANu,mayUraka
maXurA,SawapuRpA,nakwamAla,xrAvidaka,sravA
kAlpaka,veXamuKyaka,syanxana,picula,vanawikwakA
namaskArI,samafgA,AsPotA,canxra,swamba
patola,kulaka,pAlinxI,kRIrikA,SoBAFjana
cAmpaka,cAmpeya,hemaxugXaka,agnimanWa,kaTillaka
Palgu,kAkoxumbarikA,wAmalakI,viRANI,pattI
woyapippalI,lAfgalI,SArivA,JatA,yukwarasA
samaRTilA,gaNdIra,wapasvinI,aguru,paviwra
sapwalA,BUriPenA,XAmArgava,iRtakApaWa,xroNI
viSAlA,inxravAruNI,ikRuganXA,lawA,kuTeraka
brahmaxarBA,ajamoxA,Baxramuswaka,gudA,kUrcaSIrRa
mAwula,XawwUra,ariRta,kutmala,ariRta
BArgI,paxmA,afGrinAmaka,avanXya,awiviRA
urubUka,ganXarvahaswaka,swabaka,garI,jufga
kroRtrI,kRIraSuklA,kakRa,jifgI,mahORaXa
kunxuru,mukunxa,buka,pUwika,vqkRAxanI
kaxara,somavalka,mAkRika,kAmbojI,sapwalA
parkati,plakRa,kAnana,rAjAxana,SAlA
kRIrikA,rAjAxana,katamBarA,newra,lawA
parivyAXa,karNikAra,swamba,ariRta,plakRa
hrasvagaveXukA,nAgabalA,uwkata,akRota,pafkwi
ajaSqfgI,viRANI,makUlaka,ciwrA,maxana
janwuPala,uxumbara,vAraNabusA,arkAhva,gavAkRI
wrAyamANA,balaBaxrikA,atarURa,ajamoxA,kRuraka
mAlAwqNaka,BUwika,maXuxruma,pUwikARTa,PaNijjaka
skanXa,prakANda,ErAvawa,kukkura,PalapUra
cAratI,avyaWA,xuRpraXarRiNI,kuWa,sapwalA
xanwaXAvana,Kaxira,BUwAvAsa,gqhArAma,raWa
inxrayava,Baxrayava,japApuRpa,sewu,spqkkA
SAlA,skanXaSAKA,nyagroXI,lawArka,pIwana
jAlI,patolikA,gqhArAma,jawUkA,rARtrikA
AkrIda,uxyAna,krakara,sOvIra,lAfgalI
sIhuNda,suXA,ulapa,ananwA,palafkaRA
gamBArI,sarvawoBaxrA,vArAhI,qxXi,SIwa
kulaka,kAkenxu,xuRpawra,pafkwi,picCila
kapIwana,BaNdila,kuraNtaka,gunxrA,upavana
elAvAluka,suganXi,kASmarI,ikRvAku,SIwa
vIraNa,vIrawara,aparAjiwA,vaSira,vAtyAlaka
kanxarAla,plakRa,somavalka,ArAma,ucCraya
likuca,dahu,grAhin,RadgranWA,lAfgalI
vawsaka,kutaja,picCA,vAtyAlaka,samaRTilA
barhapuRpa,Suka,kumArI,rakwaPalA,nArAyaNI
govanxanI,lawA,lAfgalI,musalI,pASupawa
kOnwI,hareNU,banXUkapuRpa,vixArI,cAmpeya
ambaRTA,gaNikA,vIraNa,alpamAriRa,nicula
gudaPala,sraMsin,KarASvA,pakRman,mqwwAlaka
BaNdI,kAlameRikA,kapIwana,viswAra,wApasawaru
sahasraveXin,cukra,prapunnAta,aSoka,vixrumalawA
BUwika,BUnimba,ucCrAya,kaTillaka,kramuka
SivA,sakwuPalA,nAgavallI,vahnisaMjFaka,kRIrikA
aSmapuRpa,kAlAnusArya,kunxa,xanwaSaTA,gaNarUpa
kumBa,ulUKalaka,kAlA,pallava,bahulA
kuta,pAxapa,ulUKalaka,sinxuvAra,vExyamAwq
aSoka,vaFjula,agra,ErAvawa,XanuRpata
kutmala,mukula,kAlaskanXa,viRamacCaxa,kAkanAsikA
prawihAsa,hayamAraka,gojihvA,inXana,xugXikA
yaRtimaXuka,klIwaka,JAvuka,karavIra,xanwaXAvana
araNyAnI,mahAraNya,niRkuha,GaNtAravA,pallava
xuxruma,lawArka,panasa,AkrIda,surasA
vixXakarNI,SreyasI,lawA,SafKa,xAru
suniRaNNaka,viwunna,siMhI,kapilA,SAbara
RadgranWA,markatI,uwseXa,gulma,rajanI
rohiwaka,plIhaSawru,wqNarAjAhvaya,lawA,ambaRTA
paviwra,kuSa,avaxAha,awicCawra,uwpalaSArivA
SreNI,Avali,maxana,rasAla,prasAriNI
ikRvAku,katuwumbI,kumArI,vAnaprasWa,atavI
aBinavoxBix,afkura,mqxuwvac,sasyasaMvara,kqwamAla
cewakI,amqwA,nUxa,ikRvAku,gaNikArikA
viSAlawvac,sapwaparNa,mAgaXI,naxIsarja,gucCa
AsPotA,viRNukrAnwA,kesara,cavikA,kRIrAvI
gulma,swamba,varXamAna,jambIra,kokilAkRa
kqRNalA,guFjA,ikRuganXA,kARTa,cAfgerI
vyAGranaKa,karaja,maXu,keSAmbunAma,AsPota
SrIhaswinI,BUruNdI,inxravAruNI,rohiwaka,locamaswaka
Kapura,GoNtA,kAlpaka,vasu,kalikA
mArkava,BqfgarAja,mahAsahA,pUwika,garI
gqhArAma,niRkuta,gudA,samiw,mAkRika
bilva,SElURa,arjuna,wIkRNaganXaka,rocanI
vIravqkRa,BallAwakI,mUla,rAjAxana,golIDa
nicula,hijjala,svAxvI,afkura,yaRtimaXuka
upavana,ArAma,SIwala,samafgA,kesara
vaFjula,vewasa,maXuyaRtikA,pattikAKya,upakuFcikA
hinwAla,wAlI,sOvIra,vaMSa,mukula
mqxuwvac,BUrja,kotara,somavalka,guhA
GaNtAravA,SaNapuRpikA,arjuna,sannakaxru,krakara
marubaka,maxana,qRaBa,uwseXa,rakwAfga
mARaparNI,hayapucCI,samiw,corapuRpI,aSoka
kisalaya,pallava,lakuca,SiKara,sEreyaka
akRota,kanxarAla,plIhaSawru,Suka,SEKarika
musalI,wAlamUlikA,ganXamUlI,sWApanI,SAlmalIveRta
sukanxaka,palANdu,suvahA,godumbA,sahA
Amra,rasAla,kuFjarASana,kAravI,prapONdarIka
navamAlikA,sapwalA,viSAlA,bahuvAraka,sixXi
XamanI,aFjanakeSI,vaSira,jIvanwI,vixArI
kANdekRu,ikRura,rAsnA,XyAma,picCA
sasya,Pala,prawiviRA,wAla,kAkawinxuka
jAwi,sumanas,pravAla,xAsI,picCilA
SIwa,bahuvAraka,plIhaSawru,aBayA,SakrapuRpikA
kASa,potagala,amlAna,SafKinI,sahacarI
PaleruhA,pAtalA,pIluparNI,yavasa,vasuka
maNdUkaparNa,SoNaka,amqwA,potagala,alAbU
SePAlikA,nIlikA,BUmijambukA,kotara,PalapUra
GAsa,yavasa,parNAsa,prakIrya,kAkAfgI
xAdima,karaka,pAtali,inxrayava,ciFcA
prawApasa,alarka,Xamana,kesara,odrapuRpa
kAravI,xIpya,uccatA,karipippalI,cavya
sinxuvAra,sinxuka,avAkpuRpI,wApicCa,ajaganXikA
iXma,eXa,ruhA,jaya,samuxrAnwA
lAfgalikI,agniSiKA,SrIhaswinI,jAwi,vAswuka
maXurikA,SAleya,patuparNI,samaRTilA,ikRu
kesara,kAFcanAhvaya,SqfgI,priyAla,hanu
GoRaka,XAmArgava,vaFjula,sasya,prapONdarIka
vAtyAlaka,balA,lAfgalI,mahAsahA,wvakpawra
puRpaPala,xaXiPala,SrImaw,picula,axri
surARtraja,kAkRI,wuwWA,markatI,gulma
goswanI,svAxvI,barhapuRpa,vyAXiGAwa,dahu
mUla,buXna,xugXikA,gunxra,sahA
samuxrAnwA,laGu,meGanAman,kalikA,SaNaparNI
hlAxinI,suvahA,suReNa,jyowsnI,jatin
sPUrjaka,SiwisAraka,viSalyA,patuparNI,loXra
SatI,RadgranWikA,inxravAruNI,alpamAriRa,barbarA
vaFjula,nemin,gAyawrI,brAhmaNI,XAwupuRpikA
arimexa,vitKaxira,kuRTa,cakrakAraka,kAkRI
japApuRpa,odrapuRpa,kumArI,vanawikwakA,SirIRa
golIDa,GaNtApAtali,ArAma,sasyasaMvara,dahu
pattI,pattikAKya,wAlamUlikA,axri,arjuna
rakwAfga,rocanI,muxgaparNI,avakeSin,rakwAfga
uwkata,varAfgaka,sukanxaka,banXUka,samanwaxugXA
goXApaxI,suvahA,syanxana,SIwa,awicCawrA
kuvala,kola,vawsaka,eXa,parAga
Xamana,nada,kusuma,rasAla,rAkRasI
maXuxruma,vAnaprasWa,AmalakI,yojanavallI,awiviRA
plava,gonarxa,palANdu,nAgabalA,kAkenxu
kramuka,yUpa,nAxeyI,kOSika,SawaveXin
pqWvIkA,niRkutI,kakuBa,inxrANikA,nimba
koraka,kalikA,axri,ganXanAkulI,agniSiKA
kesara,wufga,mUla,granWiparNa,newra
SakrapAxapa,xevaxAru,edagaja,XAwupuRpikA,vixula
kAkamuxgA,muxgaparNI,sWONeya,kASmIra,pAli
puNdra,kAnwAraka,reNukA,sEreyaka,godumbA
kroRtuvinnA,afGrivallikA,nixigXikA,meGanAman,SEKarika
vrawawi,vallI,vASikA,karkatI,gulminI
XanvayAsa,samuxrAnwA,maXu,spqSI,sPUrjaka
awicCawra,pAlaGna,vanXya,PaNijjaka,bAla
somarAjI,kAlameRI,kAkenxu,AkrIda,ikRu
kacCa,kuberaka,kAravI,pAtali,SiMSapA
rakwaPalA,bimbikA,lawA,xaXiPala,XAwupuRpikA
parjanI,xArvI,BUwAvAsa,aMSumawI,swabaka
sarvawoBaxra,nimba,yugapawraka,lAfgalikI,kuTeraka
ganXakutI,ganXinI,ambuja,granWiparNa,jImUwa
wriputA,korafgI,BUruNdI,GoRaka,kapIwana
ariRta,Penila,afkota,harivAluka,jIvanwikA
vqkRAxanI,vqkRaruhA,kAnwalaka,vAyasI,SyAmA
xuRpraXarRiNI,siMhI,canxra,wqNarAjAhvaya,nimbawaru
jambIra,jamBa,sWirAyus,kalikA,warkArI
vAswuka,upoxakA,maXuparNikA,janwuPala,priyaka
mahAsahA,amlAna,prakANda,BUmijambukA,rakwaka
ifguxI,wApasawaru,maxana,rohin,vAwapoWa
suReNa,karamarxaka,parus,gaNahAsaka,maNdUkaparNa
misI,lomaSa,SafKinI,swamba,xanwaSaTA
lakRmI,qxXi,vayaHsWA,jatilA,SakulAxanI
alAbU,wumbI,gavAkRI,vanXya,kaNdUrA
paxmapawra,pORkara,kapivallI,sraMsin,wApasawaru
xugXikA,kRIrAvI,saraNA,hifguniryAsa,sahasraveXin
kuraNtaka,sahacarI,saMsparSA,buXna,wejanaka
rAjAxana,XanuRpata,korafgI,syonAka,afkota
SAlmali,mocA,BUrja,inxrayava,baxarA
makaranxa,kROxra,AmalakI,viswAra,puNdra
xAva,atavI,Penila,pIluparNI,Xruva
vikafkawa,SruvAvqkRa,Palegrahi,uxumbara,jAwi
kotara,niRkuha,CawrA,vIruX,karkaSa
uccatA,cUdAlA,kqwamAla,vixrumalawA,xArvikA
aSokarohiNI,katurohiNI,manxAra,jyowsnI,SaNapuRpikA
amqwA,wanwrikA,gaNikA,pravAla,manmaWa
SivA,ajJatA,vitKaxira,baxarI,BUwika
XAwrI,amqwA,uxumbaraparNI,carmin,AsPotA
corapuRpI,keSinI,BaxrabalA,golIDa,suvahA
viswAra,vitapa,SreyasI,prakIrya,hEmavawI
waraNi,sahA,vApya,vqkRaruhA,valka
kumuxikA,BUwika,kRAraka,ramBA,nada
bakula,kesara,vArRika,prawiviRA,ganXamUlI
bramhI,somavallarI,BUmijambukA,SrIparNa,kaTiFjara
vixula,ambuvewasa,lAfgalI,vAraNabusA,kRura
punarnavA,SoWaGnI,rakwAfga,wamAla,mAkRika
sWirA,XruvA,harIwakI,ekARTIla,arjuna
koSa,koRa,xArvikA,Salka,avanXya
BasmagarBA,kapilA,piTara,uxIcya,SIwala
gulminI,kakRa,somavalka,GoNtA,jatilA
agniSiKA,SakrapuRpikA,xuHsparSA,kokilAkRa,sOvIra
vikaca,vyAkoSa,nAgakesara,SEleya,nixigXikA
arkaparNa,vikIraNa,kotivarRA,pAtali,agniSiKA
palafkaRA,gokaNtaka,waNdulIya,prAvqRAyaNI,jambIra
nAxeyI,BUmijambukA,uwseXa,suganXA,SAlA
SrImaw,wilaka,garI,vArAhI,murA
bANA,xAsI,gokaNtaka,lawA,kuTeraka
prasWapuRpa,marubaka,karaka,suReNikA,rAjavqkRa
kolavallI,SreyasI,manxAra,Sqfga,punarnavA
kURmANdaka,karkAru,kuruvinxa,BaxraparNI,ikRuganXA
golomI,SakulAkRaka,rakwaPalA,kAnwAraka,prawihAsa
ambaRTA,xanwaSaTA,vApya,mahAraNya,hifgulI
avanXya,Palegrahi,sWirA,woyapippalI,Pala
prasavabanXana,vqnwa,vAraNabusA,wqNarAjAhvaya,aSmapuRpa
mahORaXa,viSvA,amqwA,sakwuPalA,parAga
gAlava,wirIta,maXuparNikA,nakwamAla,SIwaSiva
jyowiRmawI,paNyA,wqNaSUnya,BUwAvAsa,kunxa
kunxa,mAXya,siMhI,SrImaw,patola
nakwamAla,karaja,parivyAXa,ariRta,SivA
pippala,kuFjarASana,avakeSin,yUWikA,sWirA
awimukwa,lawA,nimbawaru,Ahvaya,kramuka
sEreyaka,JiNtI,jAwi,xuxruma,IrvAru
nikocaka,afkota,nikumBa,sAra,hayamAraka
xAru,kARTa,kapowAfGri,gahana,vIraNa
wejanaka,gunxra,suniRaNNaka,raWaxru,gopura
wqNaSUnya,mallikA,snuhI,vixArI,yajFAfga
vyAGra,lubXaka,xakRa,SUkakIta,piwsanw
arBaka,anubanXa,varvaNA,cARa,cakravAka
kalavifka,cataka,JIrukA,xAkRAyya,Sala
kafka,lohapqRTa,xAwyUha,karNajalOkA,SivA
pakRawi,pakRamUla,vqRaxaMSaka,paroRNI,karkaretu
kqkaNa,krakara,varwika,kokila,SawapaxI
uwkroSa,kurara,Bqfga,maXumakRikA,SAlAvqka
safGa,sArWa,haMsa,krakara,AwmaGoRa
ajinapawrA,jawukA,SvAviX,pakRamUla,caFcarIka
sArafga,swokaka,kapowa,cakra,kroda
kalApa,picCabarha,SiKA,krOFca,pawafga
caFcu,wroti,Balla,kISa,lohapqRTa
kikIxivi,cARa,gaNdaka,SiKin,petaka
lUwA,UrNanABa,pArAvawa,saraGA,krakara
ganXarva,mqga,balAkA,paraBqwa,SaSAxana
haMsa,mAnasOkas,samUru,AwAyin,Kadgin
canxraka,mecaka,mecaka,xvanxva,hari
jyowirifgaNa,Kaxyowa,vqScika,kqkavAku,varAha
rASi,nikuramba,cakrAfga,maXumakRikA,jyowirifgaNa
rASi,puFja,peSI,cARa,nIda
kalifga,XUmyAta,cIrI,kAlakaNTaka,mArjAra
varwaka,lAva,vqScika,kahva,lohapqRTa
